Regular Gasoline Retail Prices,,
https://www.eia.gov/outlooks/steo/realprices/,,
11:30:43 GMT-0400 (Eastern Daylight Time),,
Source: U.S. Energy Information Administration,,
Month,Real Values,Nominal Values
12/1/2023,3.46,3.57
11/1/2023,3.45,3.56
10/1/2023,3.41,3.5
9/1/2023,3.49,3.57
8/1/2023,3.53,3.61
7/1/2023,3.5,3.57
6/1/2023,3.54,3.6
5/1/2023,3.54,3.6
4/1/2023,3.52,3.57
3/1/2023,3.46,3.5
2/1/2023,3.47,3.5
1/1/2023,3.59,3.62
12/1/2022,3.69,3.71
11/1/2022,3.78,3.79
10/1/2022,3.89,3.89
9/1/2022,3.72,3.7
8/1/2022,4,3.98
7/1/2022,4.6,4.56
6/1/2022,4.97,4.93
5/1/2022,4.54,4.44
4/1/2022,4.24,4.11
3/1/2022,4.37,4.22
2/1/2022,3.68,3.52
1/1/2022,3.5,3.31
12/1/2021,3.51,3.31
11/1/2021,3.63,3.39
10/1/2021,3.54,3.29
9/1/2021,3.45,3.18
8/1/2021,3.44,3.16
7/1/2021,3.43,3.14
6/1/2021,3.37,3.06
5/1/2021,3.31,2.99
4/1/2021,3.19,2.86
3/1/2021,3.16,2.81
2/1/2021,2.83,2.5
1/1/2021,2.65,2.33
12/1/2020,2.5,2.2
11/1/2020,2.41,2.11
10/1/2020,2.47,2.16
9/1/2020,2.5,2.18
8/1/2020,2.5,2.18
7/1/2020,2.51,2.18
6/1/2020,2.41,2.08
5/1/2020,2.17,1.87
4/1/2020,2.14,1.84
3/1/2020,2.58,2.23
2/1/2020,2.81,2.44
1/1/2020,2.93,2.55
12/1/2019,2.94,2.56
11/1/2019,3,2.6
10/1/2019,3.04,2.63
9/1/2019,3.01,2.59
8/1/2019,3.05,2.62
7/1/2019,3.19,2.74
6/1/2019,3.17,2.72
5/1/2019,3.33,2.86
4/1/2019,3.26,2.8
3/1/2019,2.95,2.52
2/1/2019,2.72,2.31
1/1/2019,2.65,2.25
12/1/2018,2.79,2.37
11/1/2018,3.12,2.65
10/1/2018,3.37,2.86
9/1/2018,3.35,2.84
8/1/2018,3.35,2.84
7/1/2018,3.37,2.85
6/1/2018,3.43,2.89
5/1/2018,3.44,2.9
4/1/2018,3.28,2.76
3/1/2018,3.09,2.59
2/1/2018,3.09,2.59
1/1/2018,3.06,2.55
12/1/2017,2.97,2.48
11/1/2017,3.09,2.56
10/1/2017,3.02,2.51
9/1/2017,3.2,2.65
8/1/2017,2.89,2.38
7/1/2017,2.8,2.3
6/1/2017,2.86,2.35
5/1/2017,2.92,2.39
4/1/2017,2.95,2.42
3/1/2017,2.84,2.33
2/1/2017,2.81,2.3
1/1/2017,2.87,2.35
12/1/2016,2.77,2.25
11/1/2016,2.68,2.18
10/1/2016,2.77,2.25
9/1/2016,2.74,2.22
8/1/2016,2.69,2.18
7/1/2016,2.78,2.24
6/1/2016,2.93,2.37
5/1/2016,2.82,2.27
4/1/2016,2.63,2.11
3/1/2016,2.46,1.97
2/1/2016,2.21,1.76
1/1/2016,2.44,1.95
12/1/2015,2.55,2.04
11/1/2015,2.7,2.16
10/1/2015,2.87,2.29
9/1/2015,2.96,2.37
8/1/2015,3.3,2.64
7/1/2015,3.49,2.79
6/1/2015,3.51,2.8
5/1/2015,3.41,2.72
4/1/2015,3.11,2.47
3/1/2015,3.11,2.46
2/1/2015,2.8,2.22
1/1/2015,2.68,2.12
12/1/2014,3.2,2.54
11/1/2014,3.66,2.91
10/1/2014,3.97,3.17
9/1/2014,4.27,3.41
8/1/2014,4.37,3.49
7/1/2014,4.53,3.61
6/1/2014,4.63,3.69
5/1/2014,4.61,3.67
4/1/2014,4.61,3.66
3/1/2014,4.46,3.53
2/1/2014,4.24,3.36
1/1/2014,4.19,3.31
12/1/2013,4.15,3.28
11/1/2013,4.12,3.24
10/1/2013,4.26,3.34
9/1/2013,4.5,3.53
8/1/2013,4.56,3.57
7/1/2013,4.59,3.59
6/1/2013,4.64,3.63
5/1/2013,4.64,3.61
4/1/2013,4.58,3.57
3/1/2013,4.76,3.71
2/1/2013,4.69,3.67
1/1/2013,4.26,3.32
12/1/2012,4.26,3.31
11/1/2012,4.44,3.45
10/1/2012,4.81,3.75
9/1/2012,4.96,3.85
8/1/2012,4.82,3.72
7/1/2012,4.48,3.44
6/1/2012,4.61,3.54
5/1/2012,4.86,3.73
4/1/2012,5.07,3.9
3/1/2012,5.01,3.85
2/1/2012,4.67,3.58
1/1/2012,4.42,3.38
12/1/2011,4.28,3.27
11/1/2011,4.43,3.38
10/1/2011,4.53,3.45
9/1/2011,4.74,3.61
8/1/2011,4.79,3.64
7/1/2011,4.82,3.65
6/1/2011,4.87,3.68
5/1/2011,5.17,3.91
4/1/2011,5.05,3.8
3/1/2011,4.75,3.56
2/1/2011,4.31,3.21
1/1/2011,4.16,3.09
12/1/2010,4.04,2.99
11/1/2010,3.88,2.86
10/1/2010,3.81,2.8
9/1/2010,3.69,2.71
8/1/2010,3.73,2.73
7/1/2010,3.73,2.73
6/1/2010,3.74,2.73
5/1/2010,3.89,2.84
4/1/2010,3.9,2.85
3/1/2010,3.8,2.77
2/1/2010,3.62,2.64
1/1/2010,3.72,2.72
