county_index,county_fips,county_name,state,lcoc_USD_base_res,lcoc_USD_base_pub,lcoc_USD_lwr,lcoc_USD_upr
0,01001,Autauga County,AL,0.19305310292753244,0.23772432837979868,0.29912900924682617,0.13486856
1,01003,Baldwin County,AL,0.17617164391023957,0.24039649477011082,0.3191632628440857,0.11662730500000001
2,01005,Barbour County,AL,0.1741121804433508,0.23849489952169017,0.31466564536094666,0.119889655
3,01007,Bibb County,AL,0.16192967395372462,0.25089987093476845,0.3211509585380554,0.09245094666666662
4,01009,Blount County,AL,0.12574793731775624,0.23750474486844617,0.29869338870048523,0.050033333333333305
5,01011,Bullock County,AL,0.17686653223920562,0.23738491686844615,0.29869338870048523,0.12195700000000001
6,01013,Butler County,AL,0.1864187888952969,0.22429157231347635,0.276671439409256,0.13475714
7,01015,Calhoun County,AL,0.18689646010192035,0.23331732009337597,0.29327547550201416,0.13198042
8,01017,Chambers County,AL,0.15520205083250888,0.24088578254643989,0.31595730781555176,0.09608718400000002
9,01019,Cherokee County,AL,0.15008059059124657,0.23378185409337598,0.29327547550201416,0.0914691216666666
10,01021,Chilton County,AL,0.16204441281664497,0.25089987093476845,0.3211509585380554,0.09245094666666662
11,01023,Choctaw County,AL,0.14017040215862572,0.21678183420925884,0.27292734384536743,0.0805624766666666
12,01025,Clarke County,AL,0.16618268011817144,0.21929019220925883,0.27292734384536743,0.11109162000000002
13,01027,Clay County,AL,0.17244586237041346,0.24117399639893322,0.3127678334712982,0.11782231000000001
14,01029,Cleburne County,AL,0.14409099957266697,0.24022333952169017,0.31466564536094666,0.0839278216666666
15,01031,Coffee County,AL,0.186368448476093,0.2292076030709379,0.2857484221458435,0.1317191799999999
16,01033,Colbert County,AL,0.1647445294154801,0.23922218212024665,0.3194417655467987,0.10833219499999991
17,01035,Conecuh County,AL,0.16599798828769108,0.23073798034077436,0.2934967875480652,0.10964657
18,01037,Coosa County,AL,0.1548831155159601,0.25089987093476845,0.3211509585380554,0.09245094666666662
19,01039,Covington County,AL,0.18250891313577106,0.23755805335813884,0.30118390917778015,0.1286812199999999
20,01041,Crenshaw County,AL,0.1864661149508732,0.22584965262906626,0.2800520062446594,0.13475714
21,01043,Cullman County,AL,0.16692547863682858,0.26313704659448983,0.36468505859375,0.1098611499999999
22,01045,Dale County,AL,0.1816572671768899,0.23616973286844617,0.29869338870048523,0.12548051999999993
23,01047,Dallas County,AL,0.17804357442249014,0.2257702397730787,0.2792682647705078,0.12298009000000001
24,01049,DeKalb County,AL,0.16380547441003782,0.2272045100647352,0.30242210626602173,0.11225774499999991
25,01051,Elmore County,AL,0.15981294279192365,0.25089987093476845,0.3211509585380554,0.09245094666666662
26,01053,Escambia County,AL,0.17369381081749652,0.23750474486844617,0.29869338870048523,0.11702162000000002
27,01055,Etowah County,AL,0.18025093711125192,0.25450507257865124,0.3285883963108063,0.12190411500000001
28,01057,Fayette County,AL,0.15219034752001967,0.23776499686844615,0.29869338870048523,0.0931956516666666
29,01059,Franklin County,AL,0.1715985889770362,0.24530231097623417,0.32585233449935913,0.1186559899999999
