VEHCLASS,variable,POWERTRAIN,scenario,value
Sedan,lce_MTCO2EpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,5.336396821568111
SUV,lce_MTCO2EpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,6.151799132187068
Truck,lce_MTCO2EpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,7.755760053654007
Sedan,lce_MTCO2EpHHy_BEV_base_res,BEV,Baseline-Residential Charging,2.2962490857232503
SUV,lce_MTCO2EpHHy_BEV_base_res,BEV,Baseline-Residential Charging,2.899433706830791
Truck,lce_MTCO2EpHHy_BEV_base_res,BEV,Baseline-Residential Charging,3.517774501547646
Sedan,lfc_USDpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,1082.2303851224217
SUV,lfc_USDpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,1240.0072613787338
Truck,lfc_USDpHHy_ICEV_base_res,ICEV,Baseline-Residential Charging,1569.5532545009821
Sedan,lfc_USDpHHy_BEV_base_res,BEV,Baseline-Residential Charging,648.1337025714772
SUV,lfc_USDpHHy_BEV_base_res,BEV,Baseline-Residential Charging,788.3108550194831
Truck,lfc_USDpHHy_BEV_base_res,BEV,Baseline-Residential Charging,923.3934167081119
Sedan,lce_MTCO2EpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,5.336396821568111
SUV,lce_MTCO2EpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,6.151799132187068
Truck,lce_MTCO2EpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,7.755760053654007
Sedan,lce_MTCO2EpHHy_BEV_base_pub,BEV,Baseline-Public Charging,2.2962490857232503
SUV,lce_MTCO2EpHHy_BEV_base_pub,BEV,Baseline-Public Charging,2.899433706830791
Truck,lce_MTCO2EpHHy_BEV_base_pub,BEV,Baseline-Public Charging,3.517774501547646
Sedan,lfc_USDpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,1082.2303851224217
SUV,lfc_USDpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,1240.0072613787338
Truck,lfc_USDpHHy_ICEV_base_pub,ICEV,Baseline-Public Charging,1569.5532545009821
Sedan,lfc_USDpHHy_BEV_base_pub,BEV,Baseline-Public Charging,820.4307364822915
