county_index,county_fips,powertrain,year,scenario,c_USDpGGE_by
0,01001,BEV,2022,Baseline-Residential,6.345607317517249
0,01001,ICEV,2022,Baseline-Residential,2.34798658610913
1,01003,BEV,2022,Baseline-Residential,5.790717972326497
1,01003,ICEV,2022,Baseline-Residential,2.3920033673903163
2,01005,BEV,2022,Baseline-Residential,5.7230239221016
2,01005,ICEV,2022,Baseline-Residential,2.34798658610913
3,01007,BEV,2022,Baseline-Residential,5.322587973888471
3,01007,ICEV,2022,Baseline-Residential,2.301247067645562
4,01009,BEV,2022,Baseline-Residential,4.133303319687045
4,01009,ICEV,2022,Baseline-Residential,2.2963415753451955
5,01011,BEV,2022,Baseline-Residential,5.813558778292717
5,01011,ICEV,2022,Baseline-Residential,2.34798658610913
6,01013,BEV,2022,Baseline-Residential,6.127539070846985
6,01013,ICEV,2022,Baseline-Residential,2.34798658610913
7,01015,BEV,2022,Baseline-Residential,6.1432400042075574
7,01015,ICEV,2022,Baseline-Residential,2.059873816701696
8,01017,BEV,2022,Baseline-Residential,5.101452680748375
8,01017,ICEV,2022,Baseline-Residential,2.3421086695556426
9,01019,BEV,2022,Baseline-Residential,4.933111560660152
9,01019,ICEV,2022,Baseline-Residential,2.3239909904546607
10,01021,BEV,2022,Baseline-Residential,5.326359411679991
10,01021,ICEV,2022,Baseline-Residential,2.2963415753451955
11,01023,BEV,2022,Baseline-Residential,4.607366139931953
11,01023,ICEV,2022,Baseline-Residential,2.360341497485763
12,01025,BEV,2022,Baseline-Residential,5.462383225191375
12,01025,ICEV,2022,Baseline-Residential,2.38235597528913
13,01027,BEV,2022,Baseline-Residential,5.668252462867859
13,01027,ICEV,2022,Baseline-Residential,2.3014613865015576
14,01029,BEV,2022,Baseline-Residential,4.736235198560438
14,01029,ICEV,2022,Baseline-Residential,2.277576627935929
15,01031,BEV,2022,Baseline-Residential,6.125884393830023
15,01031,ICEV,2022,Baseline-Residential,2.345937748572169
16,01033,BEV,2022,Baseline-Residential,5.415111570479269
16,01033,ICEV,2022,Baseline-Residential,2.3733769029341545
17,01035,BEV,2022,Baseline-Residential,5.456312450812671
17,01035,ICEV,2022,Baseline-Residential,2.374269940439433
18,01037,BEV,2022,Baseline-Residential,5.090969356482583
18,01037,ICEV,2022,Baseline-Residential,2.2963415753451955
19,01039,BEV,2022,Baseline-Residential,5.999022430326868
19,01039,ICEV,2022,Baseline-Residential,2.3761473228915975
20,01041,BEV,2022,Baseline-Residential,6.12909466648373
20,01041,ICEV,2022,Baseline-Residential,2.34798658610913
21,01043,BEV,2022,Baseline-Residential,5.486798827136923
21,01043,ICEV,2022,Baseline-Residential,2.2963415753451955
22,01045,BEV,2022,Baseline-Residential,5.971029040183645
22,01045,ICEV,2022,Baseline-Residential,2.3453231987637935
23,01047,BEV,2022,Baseline-Residential,5.852247861130616
23,01047,ICEV,2022,Baseline-Residential,2.359873546847524
24,01049,BEV,2022,Baseline-Residential,5.384245066788196
24,01049,ICEV,2022,Baseline-Residential,2.329450668199229
25,01051,BEV,2022,Baseline-Residential,5.253011548822756
25,01051,ICEV,2022,Baseline-Residential,2.3424087159540363
26,01053,BEV,2022,Baseline-Residential,5.709272216902412
26,01053,ICEV,2022,Baseline-Residential,2.383403981813359
27,01055,BEV,2022,Baseline-Residential,5.924803321870759
27,01055,ICEV,2022,Baseline-Residential,2.323723408924394
28,01057,BEV,2022,Baseline-Residential,5.002458744426636
28,01057,ICEV,2022,Baseline-Residential,2.3451801504386083
29,01059,BEV,2022,Baseline-Residential,5.640402797861591
29,01059,ICEV,2022,Baseline-Residential,2.3553020876043718
30,01061,BEV,2022,Baseline-Residential,5.913409417596847
30,01061,ICEV,2022,Baseline-Residential,2.345118264283741
31,01063,BEV,2022,Baseline-Residential,4.578945990712237
31,01063,ICEV,2022,Baseline-Residential,2.318394097915899
32,01065,BEV,2022,Baseline-Residential,4.709176282139719
32,01065,ICEV,2022,Baseline-Residential,2.3322205808931074
33,01067,BEV,2022,Baseline-Residential,5.944118954490945
33,01067,ICEV,2022,Baseline-Residential,2.3455963601932694
34,01069,BEV,2022,Baseline-Residential,5.246296397106641
34,01069,ICEV,2022,Baseline-Residential,2.345118264283741
