county_index,county_fips,state,BA,year,scenario,ef_kgCO2epGGE_by
67,02013,AK,,2022,Baseline,7.8444486
68,02016,AK,,2022,Baseline,7.8444486
69,02020,AK,,2022,Baseline,16.156702
70,02050,AK,,2022,Baseline,7.8444486
71,02060,AK,,2022,Baseline,7.8444486
72,02068,AK,,2022,Baseline,16.156702
73,02070,AK,,2022,Baseline,7.8444486
74,02090,AK,,2022,Baseline,16.156702
75,02100,AK,,2022,Baseline,7.8444486
76,02105,AK,,2022,Baseline,7.8444486
77,02110,AK,,2022,Baseline,7.8444486
78,02122,AK,,2022,Baseline,16.156702
79,02130,AK,,2022,Baseline,7.8444486
80,02150,AK,,2022,Baseline,7.8444486
81,02158,AK,,2022,Baseline,7.8444486
82,02164,AK,,2022,Baseline,7.8444486
83,02170,AK,,2022,Baseline,16.156702
84,02180,AK,,2022,Baseline,7.8444486
85,02185,AK,,2022,Baseline,7.8444486
86,02188,AK,,2022,Baseline,7.8444486
87,02195,AK,,2022,Baseline,7.8444486
88,02198,AK,,2022,Baseline,7.8444486
89,02220,AK,,2022,Baseline,7.8444486
90,02230,AK,,2022,Baseline,7.8444486
91,02240,AK,,2022,Baseline,7.8444486
92,02261,AK,,2022,Baseline,7.8444486
93,02275,AK,,2022,Baseline,7.8444486
94,02282,AK,,2022,Baseline,7.8444486
95,02290,AK,,2022,Baseline,7.8444486
67,02013,AK,,2022,Best Case for BEV,7.8444486
68,02016,AK,,2022,Best Case for BEV,7.8444486
69,02020,AK,,2022,Best Case for BEV,16.156702
70,02050,AK,,2022,Best Case for BEV,7.8444486
71,02060,AK,,2022,Best Case for BEV,7.8444486
72,02068,AK,,2022,Best Case for BEV,16.156702
73,02070,AK,,2022,Best Case for BEV,7.8444486
74,02090,AK,,2022,Best Case for BEV,16.156702
75,02100,AK,,2022,Best Case for BEV,7.8444486
76,02105,AK,,2022,Best Case for BEV,7.8444486
77,02110,AK,,2022,Best Case for BEV,7.8444486
78,02122,AK,,2022,Best Case for BEV,16.156702
79,02130,AK,,2022,Best Case for BEV,7.8444486
80,02150,AK,,2022,Best Case for BEV,7.8444486
81,02158,AK,,2022,Best Case for BEV,7.8444486
82,02164,AK,,2022,Best Case for BEV,7.8444486
83,02170,AK,,2022,Best Case for BEV,16.156702
84,02180,AK,,2022,Best Case for BEV,7.8444486
85,02185,AK,,2022,Best Case for BEV,7.8444486
86,02188,AK,,2022,Best Case for BEV,7.8444486
87,02195,AK,,2022,Best Case for BEV,7.8444486
88,02198,AK,,2022,Best Case for BEV,7.8444486
89,02220,AK,,2022,Best Case for BEV,7.8444486
